blast_id,date,bench,rock_type,hole_depth_m,burden_m,explosive_kg,rock_volume_m3,explosive_consumption,fragmentation_rate
BL-0286,2025-11-08,1070m,大理岩,17.3,4.4,11926.0,20646.0,0.578,91.5
BL-0287,2025-11-10,1055m,片麻岩,15.9,5.2,7578.0,9730.0,0.779,56.5
BL-0288,2025-11-12,1055m,花岗岩,16.3,3.8,6969.0,13066.0,0.533,97.1
BL-0289,2025-11-14,1070m,花岗岩,17.9,4.8,14339.0,26956.0,0.532,91.7
BL-0290,2025-11-17,1070m,大理岩,13.2,5.0,5050.0,15243.0,0.331,55.7
BL-0291,2025-11-18,1055m,片麻岩,14.4,4.8,5410.0,10794.0,0.501,88.4
BL-0292,2025-11-22,1040m,花岗岩,16.2,4.1,8366.0,12100.0,0.691,61.4
BL-0293,2025-11-24,1055m,砂岩,13.7,4.0,12061.0,16238.0,0.743,58.2
BL-0294,2025-11-25,1055m,花岗岩,17.1,5.5,20963.0,27761.0,0.755,55.6
BL-0295,2025-12-03,1055m,片麻岩,14.3,4.8,6609.0,18828.0,0.351,58.4
BL-0296,2025-12-04,1055m,片麻岩,17.9,3.7,3610.0,10062.0,0.359,58.5
BL-0297,2025-12-07,1070m,片麻岩,13.5,3.9,10521.0,28432.0,0.37,58.1
BL-0298,2025-12-08,1070m,花岗岩,12.4,5.0,11490.0,29349.0,0.392,58.9
BL-0299,2025-12-08,1025m,片麻岩,15.4,4.3,9716.0,26808.0,0.362,58.2
BL-0300,2025-12-09,1025m,片麻岩,14.4,5.2,13327.0,24323.0,0.548,94.4
BL-0301,2025-12-17,1070m,大理岩,15.2,5.2,14825.0,25952.0,0.571,95.4
BL-0302,2025-12-19,1010m,片麻岩,16.8,4.1,4085.0,11543.0,0.354,56.6
BL-0303,2025-12-19,1025m,片麻岩,12.5,4.0,11970.0,24874.0,0.481,86.6
BL-0304,2025-12-24,1055m,大理岩,15.1,4.6,13724.0,20660.0,0.664,71.1
BL-0305,2025-12-26,1025m,花岗岩,17.0,4.1,9300.0,17429.0,0.534,93.6
BL-0306,2025-12-26,1070m,花岗岩,18.0,5.1,8374.0,11966.0,0.7,66.1
BL-0307,2026-01-01,1070m,花岗岩,12.8,5.1,7474.0,20454.0,0.365,55.8
BL-0308,2026-01-02,1010m,片麻岩,14.1,4.0,15400.0,25109.0,0.613,82.5
BL-0309,2026-01-02,1010m,花岗岩,14.4,4.0,9812.0,22416.0,0.438,69.0
BL-0310,2026-01-04,1070m,花岗岩,14.0,3.8,8839.0,18225.0,0.485,84.9
BL-0311,2026-01-11,1070m,花岗岩,12.3,3.8,6195.0,10793.0,0.574,94.7
BL-0312,2026-01-15,1025m,大理岩,13.5,4.0,4065.0,12362.0,0.329,55.0
BL-0313,2026-01-15,1010m,花岗岩,12.2,4.7,6352.0,11679.0,0.544,97.2
BL-0314,2026-01-17,1010m,片麻岩,16.3,4.4,7813.0,17655.0,0.443,72.7
BL-0315,2026-01-19,1040m,片麻岩,16.5,3.8,11110.0,15090.0,0.736,59.0
BL-0316,2026-01-20,1010m,片麻岩,12.8,4.2,7960.0,14295.0,0.557,96.7
BL-0317,2026-01-20,1070m,大理岩,15.0,4.1,5954.0,13542.0,0.44,78.5
BL-0318,2026-01-24,1040m,片麻岩,14.3,4.0,10611.0,14603.0,0.727,61.2
BL-0319,2026-01-28,1055m,花岗岩,14.5,3.7,5266.0,14521.0,0.363,58.9
BL-0320,2026-01-29,1040m,花岗岩,17.0,4.6,12690.0,17220.0,0.737,55.0
BL-0321,2026-01-30,1025m,大理岩,16.5,4.5,6295.0,10763.0,0.585,94.7
BL-0322,2026-02-03,1010m,花岗岩,15.1,4.4,6487.0,19167.0,0.338,58.5
BL-0323,2026-02-05,1040m,花岗岩,13.9,4.4,21784.0,27930.0,0.78,55.0
BL-0324,2026-02-06,1010m,片麻岩,16.5,3.8,4913.0,10696.0,0.459,80.1
BL-0325,2026-02-08,1070m,片麻岩,17.9,4.8,8933.0,24488.0,0.365,59.0
BL-0326,2026-02-08,1010m,大理岩,15.5,4.8,7208.0,12277.0,0.587,93.5
BL-0327,2026-02-15,1025m,大理岩,15.8,3.7,10290.0,18706.0,0.55,96.4
BL-0328,2026-02-15,1040m,砂岩,12.9,3.9,16027.0,20773.0,0.772,57.6
BL-0329,2026-02-16,1040m,砂岩,15.7,4.4,14238.0,27628.0,0.515,91.8
BL-0330,2026-02-16,1010m,花岗岩,13.1,5.4,4416.0,12089.0,0.365,57.0
BL-0331,2026-02-17,1025m,片麻岩,16.4,3.8,7657.0,18846.0,0.406,66.4
BL-0332,2026-02-18,1040m,片麻岩,17.7,5.4,5547.0,11872.0,0.467,84.3
BL-0333,2026-02-21,1040m,片麻岩,13.5,5.3,8962.0,18363.0,0.488,90.2
BL-0334,2026-02-26,1070m,片麻岩,17.7,4.6,13136.0,25504.0,0.515,99.0
BL-0335,2026-03-03,1010m,片麻岩,12.2,4.3,16438.0,28131.0,0.584,91.2
BL-0336,2026-03-04,1010m,花岗岩,15.5,5.4,5151.0,15647.0,0.329,55.0
BL-0337,2026-03-06,1025m,砂岩,13.2,4.7,8093.0,15351.0,0.527,95.6
BL-0338,2026-03-11,1040m,花岗岩,12.3,5.5,4103.0,9882.0,0.415,64.8
BL-0339,2026-03-12,1040m,片麻岩,14.2,5.3,18607.0,27860.0,0.668,71.7
BL-0340,2026-03-14,1040m,砂岩,15.1,3.8,8514.0,19502.0,0.437,75.4
BL-0341,2026-03-19,1040m,花岗岩,12.1,3.8,8618.0,10796.0,0.798,55.0
BL-0342,2026-03-19,1010m,大理岩,17.5,3.5,15775.0,29993.0,0.526,98.3
BL-0343,2026-03-20,1025m,花岗岩,16.5,4.3,13016.0,23010.0,0.566,97.8
BL-0344,2026-03-21,1010m,花岗岩,12.6,5.2,14554.0,24148.0,0.603,88.6
BL-0345,2026-03-24,1070m,大理岩,13.9,5.1,10110.0,15035.0,0.672,71.9
BL-0346,2026-03-24,1010m,大理岩,17.2,5.0,15729.0,19766.0,0.796,58.4
BL-0347,2026-03-26,1010m,大理岩,17.6,4.7,11305.0,19787.0,0.571,97.2
BL-0348,2026-03-30,1070m,大理岩,12.7,4.2,10489.0,18121.0,0.579,93.4
BL-0349,2026-04-03,1025m,花岗岩,15.8,5.2,17526.0,23843.0,0.735,57.9
BL-0350,2026-04-04,1070m,片麻岩,15.2,4.7,13683.0,17144.0,0.798,55.4
BL-0351,2026-04-05,1025m,花岗岩,12.4,4.7,7867.0,14705.0,0.535,92.2
BL-0352,2026-04-07,1040m,花岗岩,12.6,4.6,18585.0,28048.0,0.663,68.9
BL-0353,2026-04-10,1010m,花岗岩,14.2,4.7,8418.0,10528.0,0.8,55.0
BL-0354,2026-04-13,1025m,片麻岩,16.5,4.0,9876.0,17326.0,0.57,94.5
BL-0355,2026-04-14,1010m,片麻岩,14.4,4.6,13617.0,25170.0,0.541,98.1
BL-0356,2026-04-17,1040m,片麻岩,15.5,4.3,13427.0,20693.0,0.649,73.5
BL-0357,2026-04-20,1055m,片麻岩,13.5,4.6,5258.0,8196.0,0.642,79.5
BL-0358,2026-04-22,1070m,砂岩,15.5,4.0,5915.0,17556.0,0.337,56.6
BL-0359,2026-04-23,1070m,片麻岩,12.8,4.4,7411.0,17379.0,0.426,72.1
BL-0360,2026-04-25,1025m,片麻岩,15.5,4.4,8358.0,15142.0,0.552,95.0
BL-0361,2026-04-28,1010m,砂岩,14.8,4.6,10321.0,22605.0,0.457,79.4
BL-0362,2026-04-29,1055m,大理岩,16.8,3.6,15298.0,24807.0,0.617,90.0
BL-0363,2026-04-30,1055m,砂岩,12.5,5.2,4946.0,10996.0,0.45,76.8
BL-0364,2026-05-01,1070m,片麻岩,12.5,5.4,11971.0,18909.0,0.633,80.9
BL-0365,2026-05-03,1055m,大理岩,17.5,4.6,4065.0,10120.0,0.402,69.8
BL-0366,2026-05-04,1040m,片麻岩,14.1,3.5,12096.0,21195.0,0.571,96.6
BL-0367,2026-05-06,1055m,片麻岩,14.6,4.2,7159.0,13541.0,0.529,95.5
BL-0368,2026-05-07,1010m,片麻岩,15.2,4.8,7893.0,18459.0,0.428,73.1
BL-0369,2026-05-13,1055m,片麻岩,15.0,4.4,7576.0,11010.0,0.688,63.6
BL-0370,2026-05-13,1025m,花岗岩,13.9,4.2,8156.0,25110.0,0.325,55.0
BL-0371,2026-05-14,1040m,大理岩,15.3,3.8,10403.0,19211.0,0.542,95.3
BL-0372,2026-05-16,1025m,片麻岩,16.4,4.1,17331.0,22613.0,0.766,58.5
BL-0373,2026-05-18,1055m,花岗岩,17.4,4.2,5335.0,13110.0,0.407,62.4
BL-0374,2026-05-21,1025m,片麻岩,13.0,3.8,3975.0,8340.0,0.477,85.6
BL-0375,2026-05-30,1010m,片麻岩,14.1,3.6,11555.0,14906.0,0.775,59.2
BL-0376,2026-06-02,1010m,砂岩,14.5,5.2,15810.0,21456.0,0.737,62.4
BL-0377,2026-06-04,1040m,片麻岩,15.8,4.1,5316.0,8777.0,0.606,91.7
BL-0378,2026-06-05,1055m,花岗岩,12.1,5.1,5182.0,11202.0,0.463,80.2
BL-0379,2026-06-07,1025m,花岗岩,17.4,4.6,11422.0,27388.0,0.417,67.9
BL-0380,2026-06-08,1055m,花岗岩,17.9,5.0,9410.0,12326.0,0.763,55.0
BL-0381,2026-06-11,1010m,砂岩,14.3,3.6,11052.0,25006.0,0.442,79.4
BL-0382,2026-06-11,1010m,片麻岩,17.3,5.4,15410.0,22498.0,0.685,68.7
BL-0383,2026-06-11,1070m,花岗岩,16.4,4.5,15533.0,24945.0,0.623,81.5
BL-0384,2026-06-11,1025m,花岗岩,12.5,5.3,11594.0,15796.0,0.734,55.0
BL-0385,2026-06-12,1040m,花岗岩,15.0,3.7,4816.0,13816.0,0.349,55.0
BL-0386,2026-06-16,1070m,花岗岩,17.4,5.4,7164.0,14621.0,0.49,83.4
BL-0387,2026-06-23,1025m,花岗岩,17.5,4.2,11536.0,15290.0,0.754,57.9
BL-0388,2026-06-25,1025m,大理岩,12.6,4.1,9480.0,12903.0,0.735,56.9
BL-0389,2026-06-25,1055m,片麻岩,16.6,4.8,5622.0,10566.0,0.532,92.0
BL-0390,2026-06-26,1040m,片麻岩,14.1,3.7,6318.0,14313.0,0.441,78.8
BL-0391,2026-06-27,1055m,大理岩,13.9,5.0,14083.0,27248.0,0.517,87.3
BL-0392,2026-07-02,1025m,花岗岩,14.0,4.7,8041.0,17668.0,0.455,74.6
BL-0393,2026-07-02,1055m,砂岩,16.8,3.6,18167.0,22991.0,0.79,61.2
BL-0394,2026-07-05,1040m,片麻岩,13.8,3.7,13365.0,23378.0,0.572,93.9
BL-0395,2026-07-07,1025m,花岗岩,14.0,3.8,6680.0,18397.0,0.363,55.4
BL-0396,2026-07-08,1010m,片麻岩,13.2,5.2,7997.0,15199.0,0.526,93.5
BL-0397,2026-07-08,1025m,花岗岩,13.4,3.7,15747.0,22929.0,0.687,63.7
BL-0398,2026-07-23,1055m,大理岩,13.6,5.1,21661.0,27845.0,0.778,59.1
BL-0399,2026-07-26,1010m,砂岩,12.7,5.1,7352.0,11631.0,0.632,85.1
BL-0400,2026-07-26,1010m,片麻岩,17.1,4.1,7960.0,17073.0,0.466,76.3
BL-0401,2026-07-28,1070m,花岗岩,12.4,3.5,12881.0,24771.0,0.52,86.5
BL-0402,2026-07-31,1070m,花岗岩,14.9,5.2,8754.0,24101.0,0.363,57.3
BL-0403,2026-08-02,1010m,花岗岩,13.3,4.5,5732.0,15952.0,0.359,57.8
BL-0404,2026-08-08,1025m,大理岩,15.2,4.9,10500.0,27377.0,0.384,62.5
BL-0405,2026-08-14,1010m,片麻岩,17.7,3.8,13930.0,18946.0,0.735,61.4
BL-0406,2026-08-17,1025m,大理岩,14.3,4.5,17266.0,27417.0,0.63,84.1
BL-0407,2026-08-18,1010m,大理岩,14.5,5.1,14819.0,20612.0,0.719,61.8
BL-0408,2026-08-21,1055m,大理岩,15.9,5.3,11613.0,29612.0,0.392,62.8
BL-0409,2026-08-25,1055m,花岗岩,15.4,3.5,12689.0,17199.0,0.738,59.5
BL-0410,2026-08-30,1070m,花岗岩,14.2,4.1,17459.0,24119.0,0.724,55.0
BL-0411,2026-08-31,1040m,砂岩,16.4,4.2,7068.0,15185.0,0.465,82.8
BL-0412,2026-08-31,1070m,花岗岩,14.9,4.8,20154.0,26747.0,0.754,56.4
BL-0413,2026-09-03,1010m,大理岩,12.3,5.3,10412.0,29621.0,0.351,55.0
BL-0414,2026-09-05,1070m,大理岩,14.8,3.5,8869.0,14595.0,0.608,90.1
BL-0415,2026-09-07,1025m,片麻岩,16.0,5.4,20141.0,28871.0,0.698,65.7
BL-0416,2026-09-09,1055m,花岗岩,14.9,4.2,9950.0,17596.0,0.565,89.6
BL-0417,2026-09-09,1040m,砂岩,16.3,4.4,12362.0,20398.0,0.606,97.7
BL-0418,2026-09-10,1070m,大理岩,12.3,4.2,8744.0,16154.0,0.541,94.2
BL-0419,2026-09-13,1070m,花岗岩,16.7,3.9,12888.0,28644.0,0.45,73.0
BL-0420,2026-09-14,1010m,片麻岩,17.2,4.8,11119.0,25895.0,0.429,73.5
