date,loss_rate,dilution_rate,actual_grade,model_grade
2025-08-29,4.32,4.34,29.61,30.47
2025-08-30,3.16,4.58,30.26,30.98
2025-08-31,3.57,4.13,29.9,30.7
2025-09-01,4.52,4.84,29.85,30.73
2025-09-02,4.28,3.81,30.01,30.71
2025-09-03,3.66,3.33,30.03,30.29
2025-09-04,3.81,4.86,30.09,30.84
2025-09-05,3.18,5.27,30.17,30.88
2025-09-06,4.13,4.76,30.1,30.67
2025-09-07,3.54,4.57,29.76,30.83
2025-09-08,4.52,5.56,30.22,30.91
2025-09-09,3.87,4.9,29.89,30.75
2025-09-10,3.8,4.16,29.8,30.63
2025-09-11,3.36,5.07,30.14,31.09
2025-09-12,3.72,3.4,29.84,30.88
2025-09-13,3.71,4.66,30.51,31.33
2025-09-14,4.36,4.61,29.55,30.49
2025-09-15,4.18,5.45,29.65,30.93
2025-09-16,3.32,4.81,29.97,30.6
2025-09-17,3.69,5.11,30.24,31.14
2025-09-18,4.01,4.16,29.9,30.93
2025-09-19,4.34,5.24,29.57,30.54
2025-09-20,2.85,4.13,29.97,30.78
2025-09-21,4.53,4.79,29.88,30.94
2025-09-22,3.87,4.9,29.87,30.6
2025-09-23,4.6,5.3,30.36,30.84
2025-09-24,4.0,4.79,30.58,31.45
2025-09-25,3.9,3.61,30.65,31.59
2025-09-26,3.94,4.73,30.98,31.43
2025-09-27,3.89,4.11,31.58,31.41
2025-09-28,4.12,5.25,30.12,31.05
2025-09-29,3.86,5.01,30.39,31.23
2025-09-30,4.19,4.94,31.0,31.36
2025-10-01,3.32,3.9,30.18,30.78
2025-10-02,3.36,4.05,30.24,30.79
2025-10-03,3.78,5.71,30.25,31.24
2025-10-04,3.23,5.37,29.9,30.74
2025-10-05,3.59,5.17,30.51,31.31
2025-10-06,3.62,3.99,30.34,31.21
2025-10-07,4.01,5.78,30.62,31.32
2025-10-08,3.84,5.43,30.79,31.43
2025-10-09,4.22,4.66,29.74,30.84
2025-10-10,3.14,5.19,30.14,31.45
2025-10-11,3.2,5.47,31.19,31.59
2025-10-12,3.46,4.99,30.55,31.22
2025-10-13,3.42,6.15,30.97,31.1
2025-10-14,2.95,4.97,29.73,30.97
2025-10-15,3.99,4.63,30.14,31.05
2025-10-16,3.79,5.06,30.06,31.01
2025-10-17,4.38,4.66,30.67,31.1
2025-10-18,4.22,4.22,30.39,31.22
2025-10-19,4.96,5.72,29.76,30.77
2025-10-20,3.45,5.68,30.91,31.2
2025-10-21,3.61,5.66,30.9,31.42
2025-10-22,3.62,4.1,30.9,31.57
2025-10-23,3.71,4.36,30.26,31.46
2025-10-24,4.59,3.98,29.98,31.25
2025-10-25,3.27,4.96,30.33,31.32
2025-10-26,3.99,5.21,30.65,31.22
2025-10-27,3.5,5.12,30.18,31.26
2025-10-28,3.55,4.98,30.05,30.99
2025-10-29,3.98,4.84,30.3,30.81
2025-10-30,3.66,5.01,30.66,31.62
2025-10-31,3.91,5.42,29.85,31.06
2025-11-01,4.55,5.14,30.21,31.02
2025-11-02,3.27,4.72,30.17,31.11
2025-11-03,3.52,6.24,30.78,31.42
2025-11-04,4.08,5.04,30.72,31.52
2025-11-05,3.78,5.67,30.67,31.0
2025-11-06,4.04,5.32,30.51,31.05
2025-11-07,3.77,6.24,30.22,30.91
2025-11-08,4.58,5.51,30.52,31.07
2025-11-09,4.55,5.27,31.0,31.9
2025-11-10,3.88,5.03,30.81,31.38
2025-11-11,4.61,5.45,29.84,31.1
2025-11-12,3.94,4.86,30.59,31.41
2025-11-13,3.44,4.63,31.01,31.49
2025-11-14,3.7,4.37,30.12,31.05
2025-11-15,3.79,5.44,30.36,30.98
2025-11-16,3.94,5.5,30.61,31.37
2025-11-17,3.68,5.6,30.45,31.1
2025-11-18,3.4,5.1,30.69,31.56
2025-11-19,3.92,5.02,31.29,31.76
2025-11-20,3.94,6.18,31.17,31.41
2025-11-21,4.16,5.55,30.95,31.81
2025-11-22,4.47,5.43,30.12,31.67
2025-11-23,4.07,5.4,30.32,31.26
2025-11-24,4.6,5.12,30.0,31.35
2025-11-25,4.22,5.2,30.21,31.2
2025-11-26,3.68,4.29,31.23,31.7
2025-11-27,4.18,5.33,30.89,31.48
2025-11-28,3.47,5.3,30.43,31.18
2025-11-29,4.59,5.7,30.39,31.24
2025-11-30,4.18,6.6,30.92,31.52
2025-12-01,4.27,5.71,30.32,31.41
2025-12-02,2.7,5.35,30.89,31.56
2025-12-03,3.44,4.94,31.12,31.45
2025-12-04,4.23,5.33,30.24,31.74
2025-12-05,5.15,5.46,30.26,31.04
2025-12-06,2.86,5.19,30.83,31.8
2025-12-07,4.29,5.21,31.01,31.36
2025-12-08,4.14,5.26,30.55,31.35
2025-12-09,3.99,5.64,30.7,31.67
2025-12-10,3.83,5.27,30.5,31.46
2025-12-11,3.12,5.85,30.8,31.41
2025-12-12,4.12,6.08,30.81,31.53
2025-12-13,4.14,5.73,31.03,31.52
2025-12-14,3.45,6.45,31.03,31.28
2025-12-15,4.27,5.1,31.05,31.89
2025-12-16,4.58,5.59,31.04,31.62
2025-12-17,4.53,4.6,30.84,31.45
2025-12-18,4.21,5.92,30.49,31.62
2025-12-19,4.43,4.85,30.01,31.21
2025-12-20,5.11,5.24,30.12,31.04
2025-12-21,3.41,6.0,31.06,31.69
2025-12-22,3.61,5.65,30.01,30.97
2025-12-23,3.88,5.87,31.53,31.57
2025-12-24,3.67,5.14,30.29,31.38
2025-12-25,3.92,5.18,30.37,31.2
2025-12-26,3.81,6.45,30.53,31.14
2025-12-27,4.44,5.74,30.68,31.16
2025-12-28,3.82,6.12,30.64,31.36
2025-12-29,5.2,5.56,30.36,31.23
2025-12-30,4.16,5.87,30.16,31.12
2025-12-31,4.71,5.76,30.47,31.42
2026-01-01,4.32,5.8,30.01,31.43
2026-01-02,3.9,5.12,30.81,31.25
2026-01-03,3.87,5.57,29.97,31.0
2026-01-04,3.78,5.27,30.99,31.49
2026-01-05,4.94,5.6,30.49,31.33
2026-01-06,4.65,5.39,30.5,31.3
2026-01-07,4.5,6.8,30.53,31.18
2026-01-08,3.96,6.65,30.51,30.89
2026-01-09,4.39,6.04,30.65,31.21
2026-01-10,4.59,5.07,30.74,31.6
2026-01-11,4.33,5.59,29.77,31.23
2026-01-12,4.08,6.48,30.22,31.03
2026-01-13,4.56,5.88,30.64,31.36
2026-01-14,4.69,5.72,30.48,31.27
2026-01-15,4.34,5.88,30.6,31.43
2026-01-16,4.32,5.05,30.03,31.07
2026-01-17,5.18,5.02,30.22,31.01
2026-01-18,4.58,6.28,30.33,31.26
2026-01-19,3.7,6.38,30.83,31.2
2026-01-20,3.87,5.85,30.83,31.39
2026-01-21,4.78,4.9,29.82,30.95
2026-01-22,3.97,5.71,30.36,31.16
2026-01-23,3.89,4.92,30.08,31.0
2026-01-24,4.11,5.59,29.61,31.17
2026-01-25,4.6,6.08,30.35,31.0
2026-01-26,4.25,5.89,30.76,31.12
2026-01-27,4.55,5.64,30.66,31.3
2026-01-28,4.12,5.6,30.64,31.38
2026-01-29,3.72,6.1,29.65,30.83
2026-01-30,4.35,5.83,30.84,31.45
2026-01-31,4.29,5.45,31.18,31.39
2026-02-01,4.72,5.89,30.16,30.61
2026-02-02,5.19,5.48,30.32,30.62
2026-02-03,4.08,5.69,30.34,31.35
2026-02-04,4.71,7.01,30.02,30.64
2026-02-05,3.51,5.44,30.96,31.36
2026-02-06,4.75,5.03,30.79,31.51
2026-02-07,4.41,6.32,30.83,31.64
2026-02-08,3.56,5.68,30.87,31.05
2026-02-09,4.55,5.56,29.93,30.66
2026-02-10,3.89,5.77,29.87,30.53
2026-02-11,4.69,5.32,30.37,31.01
2026-02-12,4.55,5.9,30.02,30.68
2026-02-13,4.28,5.17,30.18,30.94
2026-02-14,4.71,5.5,29.7,30.22
2026-02-15,4.82,4.95,31.07,31.35
2026-02-16,4.53,5.2,30.34,31.14
2026-02-17,5.98,6.24,30.54,31.42
2026-02-18,4.16,5.78,29.99,31.1
2026-02-19,4.9,5.88,29.58,30.59
2026-02-20,4.42,6.44,30.55,31.14
2026-02-21,3.65,5.94,29.88,30.92
2026-02-22,4.42,6.59,30.35,30.96
2026-02-23,4.53,5.52,30.14,30.65
2026-02-24,5.23,5.32,29.49,30.88
2026-02-25,4.33,5.34,30.43,30.92
2026-02-26,4.61,6.57,30.11,30.74
2026-02-27,4.25,5.29,29.85,30.82
2026-02-28,5.73,4.66,31.04,31.23
2026-03-01,4.66,5.72,30.45,30.99
2026-03-02,4.83,5.36,30.4,30.87
2026-03-03,4.69,5.23,30.27,30.76
2026-03-04,5.16,5.22,29.53,30.69
2026-03-05,4.38,5.27,30.33,31.07
2026-03-06,4.96,5.05,30.14,30.58
2026-03-07,5.36,5.97,29.84,30.58
2026-03-08,4.72,5.75,29.74,30.63
2026-03-09,4.48,5.58,30.09,31.29
2026-03-10,3.92,5.34,29.9,30.55
2026-03-11,5.06,5.27,28.35,31.05
2026-03-12,4.31,5.47,29.69,30.7
2026-03-13,3.89,5.9,29.74,30.37
2026-03-14,4.94,5.7,30.36,30.59
2026-03-15,4.67,6.21,30.11,30.77
2026-03-16,4.99,5.57,30.42,31.06
2026-03-17,5.47,5.35,29.4,30.36
2026-03-18,5.15,6.89,29.69,30.95
2026-03-19,4.98,5.15,29.78,30.92
2026-03-20,5.29,5.08,30.1,31.05
2026-03-21,5.13,5.26,30.11,30.42
2026-03-22,4.53,4.9,29.64,30.8
2026-03-23,4.92,5.59,30.52,31.15
2026-03-24,4.54,6.72,30.07,30.73
2026-03-25,5.04,5.99,29.96,30.62
2026-03-26,5.19,5.84,30.13,30.82
2026-03-27,4.97,5.64,29.58,30.59
2026-03-28,5.19,4.6,30.02,30.62
2026-03-29,5.18,6.36,29.54,30.33
2026-03-30,4.86,5.01,29.69,30.63
2026-03-31,5.12,5.36,29.24,30.34
2026-04-01,5.01,6.68,30.3,30.64
2026-04-02,4.51,7.07,29.39,30.46
2026-04-03,5.09,5.31,29.5,30.12
2026-04-04,5.13,5.51,29.78,30.72
2026-04-05,4.86,4.54,30.02,30.65
2026-04-06,5.19,5.25,29.83,30.35
2026-04-07,5.15,6.15,29.65,30.72
2026-04-08,4.47,5.38,29.64,30.63
2026-04-09,4.64,5.32,29.78,30.6
2026-04-10,4.53,6.5,29.35,30.28
2026-04-11,4.87,5.41,30.09,30.37
2026-04-12,5.01,5.7,29.45,30.22
2026-04-13,5.32,5.48,29.4,30.35
2026-04-14,5.66,5.08,30.14,30.53
2026-04-15,5.7,6.31,29.97,30.16
2026-04-16,4.68,5.36,30.46,30.67
2026-04-17,5.88,5.96,30.62,31.09
2026-04-18,4.57,5.43,29.79,30.39
2026-04-19,4.75,5.47,29.33,30.28
2026-04-20,4.47,4.96,29.3,30.17
2026-04-21,5.0,6.03,30.16,30.75
2026-04-22,4.44,5.72,29.82,30.22
2026-04-23,5.0,5.04,29.26,30.53
2026-04-24,4.96,6.77,29.29,30.3
2026-04-25,4.97,5.06,29.8,30.42
2026-04-26,4.57,5.18,29.89,30.56
2026-04-27,5.08,6.56,29.53,30.24
2026-04-28,4.54,6.03,29.52,30.11
2026-04-29,4.56,6.04,28.89,30.04
2026-04-30,5.53,5.83,29.41,30.1
2026-05-01,4.15,4.62,29.8,30.47
2026-05-02,5.1,5.41,29.48,30.27
2026-05-03,5.99,5.34,29.16,30.36
2026-05-04,4.86,4.56,29.89,30.71
2026-05-05,5.35,6.02,30.32,30.89
2026-05-06,4.5,4.32,28.71,29.85
2026-05-07,4.59,4.7,29.23,29.98
2026-05-08,5.32,6.67,29.13,30.08
2026-05-09,4.06,5.42,29.91,30.59
2026-05-10,4.58,4.45,29.91,30.35
2026-05-11,4.42,4.06,29.51,30.43
2026-05-12,4.06,5.42,29.75,30.43
2026-05-13,4.35,4.87,29.74,30.05
2026-05-14,4.56,5.48,29.68,30.37
2026-05-15,4.09,4.01,29.58,30.27
2026-05-16,4.98,4.83,29.39,30.0
2026-05-17,4.53,5.39,30.27,30.59
2026-05-18,4.56,4.81,29.86,30.56
2026-05-19,3.9,5.65,29.3,30.49
2026-05-20,4.77,5.26,29.75,30.23
2026-05-21,4.49,4.79,28.87,30.16
2026-05-22,5.13,5.0,29.75,30.24
2026-05-23,4.82,4.79,29.69,30.34
2026-05-24,4.27,4.86,29.54,30.1
2026-05-25,4.91,4.37,29.9,30.3
2026-05-26,4.85,5.24,29.18,29.92
2026-05-27,3.87,4.5,29.67,30.47
2026-05-28,3.77,4.36,29.46,29.98
2026-05-29,4.92,5.35,29.75,30.33
2026-05-30,4.24,5.7,29.32,30.49
2026-05-31,4.76,5.5,29.27,29.94
2026-06-01,5.41,5.4,29.64,30.45
2026-06-02,5.08,5.52,29.55,30.07
2026-06-03,3.78,4.97,29.18,30.1
2026-06-04,4.51,5.63,29.67,30.37
2026-06-05,4.98,5.11,29.48,30.32
2026-06-06,4.91,5.31,29.81,30.45
2026-06-07,4.25,5.15,29.42,30.02
2026-06-08,4.72,5.19,28.93,30.0
2026-06-09,4.67,4.62,29.67,30.28
2026-06-10,4.68,3.98,30.3,30.69
2026-06-11,4.32,4.61,29.05,30.07
2026-06-12,4.0,5.66,29.92,30.45
2026-06-13,3.82,5.17,29.46,30.02
2026-06-14,5.52,4.95,29.15,30.49
2026-06-15,4.07,5.32,28.89,29.85
2026-06-16,4.67,4.94,29.15,30.3
2026-06-17,4.95,4.69,29.83,30.43
2026-06-18,3.95,4.51,28.97,29.97
2026-06-19,4.46,4.16,29.88,30.6
2026-06-20,3.82,5.19,29.07,29.99
2026-06-21,4.79,4.54,30.27,30.48
2026-06-22,4.78,4.81,29.61,30.11
2026-06-23,3.03,4.63,28.98,29.98
2026-06-24,4.42,4.26,29.21,30.09
2026-06-25,4.76,5.87,29.63,30.61
2026-06-26,3.93,5.66,29.7,30.32
2026-06-27,4.19,5.93,29.36,30.42
2026-06-28,4.16,5.13,29.15,30.24
2026-06-29,4.0,4.51,29.59,30.33
2026-06-30,4.02,4.93,29.77,30.33
2026-07-01,4.45,5.09,30.09,30.56
2026-07-02,4.26,5.01,29.82,30.25
2026-07-03,3.77,4.18,29.31,30.32
2026-07-04,4.16,4.35,29.58,30.15
2026-07-05,4.61,4.0,29.81,30.33
2026-07-06,3.79,3.62,28.98,30.2
2026-07-07,4.07,5.7,30.21,30.5
2026-07-08,4.64,4.57,29.73,30.3
2026-07-09,4.87,4.69,29.41,30.37
2026-07-10,3.54,4.53,29.64,29.89
2026-07-11,4.63,3.72,29.67,30.49
2026-07-12,3.84,4.99,29.03,30.34
2026-07-13,3.68,5.12,29.22,30.2
2026-07-14,3.35,4.58,29.98,30.8
2026-07-15,4.72,5.06,29.39,30.14
2026-07-16,4.43,5.5,29.32,30.14
2026-07-17,4.47,4.5,29.54,30.5
2026-07-18,4.09,3.97,28.9,29.72
2026-07-19,4.02,5.23,29.52,30.14
2026-07-20,4.56,5.04,29.38,30.06
2026-07-21,4.51,4.96,29.46,30.31
2026-07-22,4.2,3.26,29.49,30.34
2026-07-23,4.43,4.99,29.85,30.29
2026-07-24,5.16,5.08,29.36,30.33
2026-07-25,3.62,4.66,29.15,30.17
2026-07-26,3.81,3.64,29.64,30.51
2026-07-27,3.54,4.15,29.37,30.38
2026-07-28,4.06,4.88,29.86,30.47
2026-07-29,3.52,5.04,29.3,30.05
2026-07-30,3.32,4.01,30.08,30.73
2026-07-31,4.69,4.32,29.38,29.83
2026-08-01,3.89,4.06,29.73,30.55
2026-08-02,3.81,5.75,29.54,30.64
2026-08-03,3.79,3.73,29.69,30.7
2026-08-04,3.47,4.89,29.88,30.68
2026-08-05,4.88,5.52,29.42,30.4
2026-08-06,3.72,5.63,29.65,30.52
2026-08-07,3.92,5.95,27.82,30.42
2026-08-08,4.3,5.3,29.71,30.89
2026-08-09,3.52,5.2,30.01,30.28
2026-08-10,4.14,4.78,29.24,30.37
2026-08-11,3.17,4.51,29.68,30.4
2026-08-12,4.17,4.87,29.57,30.42
2026-08-13,4.44,4.39,29.78,30.71
2026-08-14,4.27,3.65,30.27,31.02
2026-08-15,3.92,5.15,30.6,30.94
2026-08-16,3.85,5.57,30.38,30.43
2026-08-17,3.73,4.15,29.51,30.66
2026-08-18,3.58,4.47,29.35,30.39
2026-08-19,4.67,5.73,29.89,30.49
2026-08-20,4.58,4.81,29.7,30.94
2026-08-21,4.22,4.34,29.2,30.08
2026-08-22,4.29,4.39,29.79,30.61
2026-08-23,3.41,3.95,30.47,30.99
2026-08-24,3.18,4.85,30.4,30.92
2026-08-25,3.43,4.04,27.84,30.66
2026-08-26,4.5,5.37,29.64,31.2
2026-08-27,4.49,4.69,29.54,30.24
2026-08-28,3.89,3.85,31.14,30.3
2026-08-29,3.72,4.44,29.84,30.8
2026-08-30,2.89,4.52,30.28,31.1
2026-08-31,3.3,4.56,30.62,31.39
2026-09-01,4.07,3.77,29.41,30.57
2026-09-02,4.21,5.25,29.89,30.8
2026-09-03,3.95,4.39,29.42,30.79
2026-09-04,3.73,5.18,29.59,30.6
2026-09-05,4.28,4.38,30.12,30.51
2026-09-06,3.84,4.79,30.2,31.42
2026-09-07,4.4,5.65,29.89,30.9
2026-09-08,3.87,4.14,30.02,30.88
2026-09-09,3.96,4.95,30.74,31.25
2026-09-10,4.04,3.85,30.37,30.97
2026-09-11,4.09,4.85,30.16,30.96
2026-09-12,4.04,5.48,29.86,30.76
2026-09-13,4.08,4.37,29.48,30.55
2026-09-14,4.32,4.54,30.2,30.92
2026-09-15,4.05,5.0,30.5,31.12
2026-09-16,3.48,3.33,30.33,31.09
2026-09-17,4.56,4.62,30.65,31.19
2026-09-18,3.17,4.64,30.21,30.94
2026-09-19,4.28,3.64,29.68,30.42
